RANK_steals_2016,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
254,Charlie Villanueva,DAL,37,12.2,11,0.30,1.17,19,0.51,48,0.58,0.23
255,Trey Lyles,UTAH,41,18.6,12,0.29,0.76,34,0.83,60,0.35,0.20
256,Nick Collison,OKC,38,12.4,11,0.29,1.12,28,0.74,73,0.39,0.15
257,Ian Clark,GS,38,9.9,11,0.29,1.40,28,0.74,35,0.39,0.31
258,Rashad Vaughn,MIL,38,11.3,11,0.29,1.23,15,0.39,32,0.73,0.34
259,Omer Asik,NO,36,16.9,10,0.28,0.79,35,0.97,71,0.29,0.14
260,Alexis Ajinca,NO,33,12.4,9,0.27,1.06,17,0.52,72,0.53,0.13
261,John Henson,MIL,41,16.7,11,0.27,0.77,48,1.17,94,0.23,0.12
262,JaKarr Sampson,PHI,43,15.5,11,0.26,0.79,49,1.14,90,0.22,0.12
263,Beno Udrih,MIA/MEM,32,15.3,8,0.25,0.79,32,1.00,37,0.25,0.22
264,Aaron Brooks,CHI,33,15.8,8,0.24,0.74,33,1.00,67,0.24,0.12
265,James Jones,CLE,34,9.9,8,0.24,1.14,10,0.29,44,0.80,0.18
266,Jonas Jerebko,BOS,43,13.5,10,0.23,0.83,26,0.60,74,0.38,0.14
267,Aron Baynes,DET,43,14.2,10,0.23,0.79,39,0.91,81,0.26,0.12
268,Marreese Speights,GS,35,10.5,8,0.23,1.04,35,1.00,53,0.23,0.15
269,Gerald Henderson,POR,37,16.2,8,0.22,0.64,33,0.89,28,0.24,0.29
270,Mario Hezonja,ORL,39,13.7,8,0.21,0.72,41,1.05,48,0.20,0.17
271,Enes Kanter,OKC,45,20.4,9,0.20,0.47,55,1.22,83,0.16,0.11
272,Shabazz Muhammad,MIN,45,20.2,9,0.20,0.47,42,0.93,54,0.21,0.17
273,Robin Lopez,NY,46,25.1,9,0.20,0.37,74,1.61,119,0.12,0.08
274,Andrew Nicholson,ORL,32,16.3,6,0.19,0.55,27,0.84,44,0.22,0.14
275,Bismack Biyombo,TOR,43,22.8,8,0.19,0.39,46,1.07,121,0.17,0.07
276,Doug McDermott,CHI,42,21.5,7,0.17,0.37,29,0.69,60,0.24,0.12
277,Meyers Leonard,POR,39,23.3,5,0.13,0.26,47,1.21,117,0.11,0.04
278,Andrea Bargnani,BKN,38,13.8,4,0.11,0.37,23,0.61,51,0.17,0.08
