RANK_scoring-per-game_2015,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
31,Andrew Wiggins,MIN,82,36.2,16.9,6.1-13.9,.437,0.5-1.5,.310,4.3-5.7,.760
32,Paul Millsap,ATL,73,32.7,16.7,6.1-12.7,.476,1.1-3.0,.356,3.5-4.6,.757
33,Al Jefferson,CHA,65,30.6,16.6,7.5-15.5,.481,0.0-0.1,.400,1.7-2.5,.655
34,Tyreke Evans,NO,79,34.1,16.6,6.6-14.7,.447,0.9-2.9,.304,2.6-3.7,.694
35,Kawhi Leonard,SA,64,31.8,16.5,6.2-12.8,.479,1.0-3.0,.349,3.2-3.9,.802
36,Isaiah Thomas,BOS/PHX,67,25.8,16.4,5.0-11.9,.421,1.9-5.2,.373,4.5-5.2,.868
37,Kevin Love,CLE,75,33.8,16.4,5.5-12.7,.434,1.9-5.2,.367,3.4-4.3,.804
38,J.J. Redick,LAC,78,30.9,16.4,5.7-12.0,.477,2.6-5.9,.437,2.3-2.6,.901
39,Goran Dragic,MIA/PHX,78,33.8,16.3,6.4-12.8,.501,1.2-3.3,.347,2.3-3.0,.774
40,Zach Randolph,MEM,71,32.5,16.1,6.4-13.1,.487,0.1-0.3,.350,3.2-4.2,.765
41,Derrick Favors,UTAH,74,30.8,16.0,6.5-12.4,.525,0.0-0.1,.167,3.0-4.5,.669
42,Wesley Matthews,POR,60,33.7,15.9,5.6-12.5,.448,2.9-7.4,.389,1.8-2.4,.752
43,Jeff Teague,ATL,73,30.5,15.9,5.6-12.2,.460,1.0-2.8,.343,3.8-4.4,.862
44,Greg Monroe,DET,69,31.0,15.9,6.1-12.4,.496,0.0-0.0,.000,3.7-4.9,.750
45,Mike Conley,MEM,70,31.8,15.8,5.6-12.6,.446,1.5-4.0,.386,3.1-3.6,.859
46,Jamal Crawford,LAC,64,26.6,15.8,5.2-13.1,.396,1.9-5.7,.327,3.5-3.9,.901
47,Chandler Parsons,DAL,66,33.1,15.7,5.8-12.6,.462,2.0-5.3,.380,2.1-2.9,.720
48,Louis Williams,TOR,80,25.2,15.5,4.7-11.6,.404,1.9-5.6,.340,4.3-4.9,.861
49,Enes Kanter,OKC/UTAH,75,28.5,15.5,6.4-12.4,.519,0.2-0.6,.356,2.4-3.1,.782
50,Markieff Morris,PHX,82,31.5,15.3,6.2-13.4,.465,0.7-2.2,.318,2.2-2.8,.763
51,Bradley Beal,WSH,63,33.4,15.3,5.8-13.5,.427,1.7-4.1,.409,2.1-2.6,.783
52,Ty Lawson,DEN,75,35.5,15.2,5.4-12.3,.436,0.9-2.7,.341,3.5-4.8,.730
53,Al Horford,ATL,76,30.5,15.2,6.8-12.7,.538,0.1-0.5,.306,1.4-1.9,.759
54,Jeff Green,BOS/MEM,78,31.5,15.0,5.3-12.4,.430,1.2-3.7,.332,3.1-3.7,.833
55,Michael Carter-Williams,MIL/PHI,66,32.6,14.6,5.5-13.9,.396,0.5-2.3,.235,3.1-4.4,.694
56,Reggie Jackson,DET/OKC,77,29.5,14.5,5.6-12.9,.434,0.9-3.1,.299,2.4-2.8,.830
57,Joe Johnson,BKN,80,34.9,14.4,5.6-12.8,.435,1.5-4.2,.359,1.8-2.2,.801
58,Tony Parker,SA,68,28.7,14.4,5.9-12.2,.486,0.6-1.3,.427,1.9-2.4,.783
59,Serge Ibaka,OKC,64,33.1,14.3,5.8-12.3,.476,1.2-3.2,.376,1.4-1.7,.836
60,Mo Williams,MIN/CHA,68,29.1,14.2,5.0-12.6,.397,1.8-5.1,.342,2.4-2.8,.872
61,Thaddeus Young,MIN/BKN,76,32.0,14.1,5.9-12.7,.466,0.5-1.5,.330,1.7-2.6,.655
62,Luol Deng,MIA,72,33.6,14.0,5.1-10.9,.469,1.1-3.1,.355,2.7-3.5,.761
63,Wilson Chandler,DEN,78,31.7,13.9,5.4-12.5,.429,1.8-5.2,.342,1.4-1.8,.775
64,Avery Bradley,BOS,77,31.5,13.9,5.6-13.2,.428,1.6-4.6,.352,1.0-1.3,.790
65,Tim Duncan,SA,77,28.9,13.9,5.4-10.6,.512,0.0-0.1,.286,3.0-4.0,.740
66,Andre Drummond,DET,82,30.5,13.8,6.0-11.7,.514,0.0-0.0,.000,1.7-4.5,.389
67,Ryan Anderson,NO,61,27.5,13.7,4.8-12.0,.399,2.0-5.9,.340,2.1-2.5,.854
68,Robert Covington,PHI,70,27.9,13.5,4.3-10.8,.395,2.4-6.4,.374,2.5-3.1,.820
69,C.J. Miles,IND,70,26.3,13.5,4.7-11.8,.398,2.2-6.4,.345,1.9-2.3,.807
